name,quantity,model_name,model_number,serial_number,country_of_origin,manufacturer,where_purchased,price,acquired_year,location,remark,department,decription,inventory_number,,,
Pitot Tube,2,225454,,,,Kikai Kenkyu ltd,,,,irrigation,In order,water,,,,,
Pluviograph (rainfall recorder,1, type -RP 1012,,,JP,Ogasara keiki co.ltd,,,,irrigation,In order,water,,,,,
Point Gauge,10,,,,JP,Kikai Kenkyu ltd,,,,,,water,,,,,
Rain gauge(Tipping Bucket),1,,,,JP,,,,,irrigation,In order,water,,,,,
Rainfall simulator,1, M560-501c,,,JP,Oriental motor co.,,,,irrigation,In order,water,,,,,
Retaining wall apparatus,1,,,,JP,,,,,irrigation,In order,water,,,,,
Rectangular Weir,1,,,,JP,,,,,irrigation,In order,water,,,,,
Riffler box,1,,,,JP,,,,,irrigation,In order,water,,,,,
Spring Balance,1,,,,,,,,,irrigation,In order,water,,,,,
Soil pf measuring apparatus,4,,,,JP,,,,,irrigation,not working,water,,,,,
Soil auger,13,,,,,,,,,irrigation,In order,water,,,,,
Soil test  kit,2,,,,,,,,,irrigation,In order,water,,,,,
Suction pipe,1,,,,,,,,,irrigation,In order,water,,,,,
Submersible water pump,1,,,,,,,,,irrigation,In order,water,,,,,
Sprinkler,6,,,,,,,,,irrigation,In order,water,,,,,
Micro sprinklers,1,,,,,,,,,irrigation,In order,water,,,,,
Water meter,1,,,,,,,,,irrigation,In order,water,,,,,
Transformer,1,,,,,,,,,irrigation,In order,water,,,,,
T-Square,55,,,,,Staedler,,,,irrigation,In order,water,,,,,
Tensiometer,42,,,,,,,,,irrigation,In order,water,,,,,
Totalizing chronograph,1,S4323,,,JP,Ikeda Keiki & co,,,,irrigation,not working,water,,,,,
V-notch,2,a-19,,,JP,Kikai,,,,irrigation,In order,water,,,,,
Water level Recorder,1,86502,,,JP,,,,,irrigation,In order,water,,,,,
Water pump (davey),1,10517,,,,Davey ,,,,irrigation,not working,water,,,,,
Water permeability test apparatus,1,,,,JP,,,,,irrigation,In order,water,,,,,
Back saw,7,,,,,,,,,irrigation,In order,water,,,,,
Ball peen hammer,1,,,,,,,,,irrigation,In order,water,,,,,
Chisel,16,,,,,,,,,irrigation,In order,water,,,,,
Drill,3,,,,,,,,,irrigation,In order,water,,,,,
Screw driver,1,,,,,,,,,irrigation,In order,water,,,,,
pointers,6,,,,,,,,,irrigation,In order,water,,,,,
Precision cast iron frame level,9,,,,,,,,,irrigation,In order,water,,,,,
Flat head hammer,10,,,,,,,,,irrigation,In order,water,,,,,
Hand saw,9,,,,,Kinzo mfg. co ltd,,,,irrigation,In order,water,,,,,
Hack saw,1,,,,,,,,,irrigation,In order,water,,,,,
JPese wooden plane,9,,,,,,,,,irrigation,In order,water,,,,,
Line  level (wooden frame),9,,,,JP,,,,,irrigation,In order,water,,,,,
Masonry divider,1,,,,,,,,,irrigation,In order,water,,,,,
Pointer gauges,10,,,,,,,,,irrigation,In order,water,,,,,
Racket Brace,1,,,,,,,,,irrigation,In order,water,,,,,
Shovel,6,,,,,,,,,irrigation,In order,water,,,,,
Stanley Jackplane,1,,,,,,,,,irrigation,In order,water,,,,,
Rake,1,,,,,,,,,irrigation,In order,water,,,,,
Panga,2,,,,,,,,,irrigation,In order,water,,,,,
Trowel,12,,,,,,,,,irrigation,In order,water,,,,,
Try square,6,,,,,,,,,irrigation,In order,water,,,,,
Wire Cutter,1,,,,,,,,,irrigation,In order,water,,,,,
Abney level,2,,,,,,,,,irrigation,In order,water,,,,,
Alidade,5,San-el type E-3,,,,,,,,irrigation,In order,water,,,,,
Automatic level,1,1398,,,JP,Fuji-KOH co ltd,,,,irrigation,In order,water,,,,,
Curvimeter,1,,,,JP,,,,,irrigation,In order,water,,,,,
Change plates,10,,,,JP,,,,,irrigation,In order,water,,,,,
Clinometers,5,,,,JP,,,,,irrigation,In order,water,,,,,
Electronic theodolite,2,,,,JP,,,,,irrigation,In order,water,,,,,
Metallic spirit level,15,,,,,,,,,irrigation,In order,water,,,,,
Line levels,18,,,,,,,,,irrigation,In order,water,,,,,
Tilting levels,3,Na 820,,,JP,,,,,irrigation,In order,water,,,,,
Tripod stands,30,,,,JP,,,,,irrigation,In order,water,,,,,
Mirror stereoscope,15,,,,JP,,,,,irrigation,In order,water,,,,,
Optical square,5,,,,JP,,,,,irrigation,In order,water,,,,,
Plumb bobs,14,,,,,,,,,irrigation,In order,water,,,,,
Plane tables,5,,,,,,,,,irrigation,In order,water,,,,,
Vertical levels,10,,,,JP,,,,,irrigation,In order,water,,,,,
Quick set level,2,294548,,,JP,Sciex E.Africa ltd,,,,irrigation,In order,water,,,,,
Leveling staffs,21,,,,,,,,,irrigation,In order,water,,,,,
Ranging rods,33,,,,JP,,,,,irrigation,In order,water,,,,,
Steel rules,15,,,,,,,,,irrigation,In order,water,,,,,
Scale rules,15,,,,,,,,,irrigation,In order,water,,,,,
Survey chains,7,,,,JP,,,,,irrigation,In order,water,,,,,
Survey pins,7,,,,JP,,,,,irrigation,In order,water,,,,,
Tape measures,13,,,,,,,,,irrigation,In order,water,,,,,
Tilting levels,7,TS-3B,,,JP,Intech East Africa ltd,,,,irrigation,In order,water,,,,,
Tilting levels,1,B312,,,,,,,,irrigation,In order,water,,,,,
Tilting levels,2,27074,,,JP,TTL6-Sokkisha,,,,irrigation,In order,water,,,,,
Theodolite,2,1140,,,JP,NO-10C Sokkisha,,,,irrigation,In order,water,,,,,
Theodolite,1,World,,,JP,,,,,irrigation,In order,water,,,,,
Theodolite,1,,,,JP,,,,,irrigation,In order,water,,,,,
Blue printer,1,,,,JP,,,,,irrigation,In order,water,,,,,
Overhead crane,1,,,,JP,Toyo Hoist,,,,irrigation,In order,water,,,,,
Planimeter ,5,,,,JP,,,,,irrigation,In order,water,,,,,
Computer CPU,1,SUN,,,,,,,,irrigation,In order,water,,,,,
Drawing board,10,,,,,,,,,irrigation,In order,water,,,,,
Forceps,1,,,,,,,,,irrigation,In order,water,,,,,
Drawing boards,1,,,,,,,,,irrigation,In order,water,,,,,
Glass cutter,1,,,,,,,,,irrigation,In order,water,,,,,
Monitor,1,919Bjiiac359,,,,Compaq,,,,irrigation,In order,water,,,,,
Shelves,3,,,,,,,,,irrigation,In order,water,,,,,
Platform weighing balance ,2,5&2kg,,,,yamato scale,,,,AEB 034,Good,water,,,,,
Field hydraulic conductivity,2,,,,,,,,,AEB 034,Good,water,,,,,
Beam balance,2,,,,,,,,,AEB 035,Good,water,,,,,
Triple beam balance ,1,,,,,,,,,AEB 035,Good,water,,,,,
Vernier calipers,5,,,,,,,,,AEB 034,Good,water,,,,,
Desiccators,3,,,,,,,,,AEB 035,,water,,,,,
Constant permeameters,3,,,,,,,,,AEB 034,Good,water,,,,,
Machaelis motor flexture,1,,,,,,,,,AEB 033,Good,water,,,,,
Proctor test moulds,4,,,,,,,,,AEB 034,Good,water,,,,,
C.B.R moulds,3,,,,,,,,,AEB 035,Good,water,,,,,
Soil lathes,6,,,,,,,,,AEB 034,Good,water,,,,,
Concrete test hammer,1,,,,,,,,,AEB 034,Good,water,,,,,
Circuit tester,1,,,,,,,,,AEB 034,Good,water,,,,,
Circuit tester,1,,,,,,,,,AEB 034,Good,water,,,,,
Soil aggregation Anal.app.bottle shaker,1,,,,,,,,,AEB 035,Good,water,,,,,
Marriot tank ,1,DIK-4200B,,,,,,,,AEB 033,Good,water,,,,,
Standard Bicat apparatus,1,,,,,,,,,AEB 034,,water,,,,,
Vacuum oven,1,,,,,,,,,AEB 035,Good,water,,,,,
Unconfined compression app.,1,,,,,,,,,AEB 035,Good,water,,,,,
Slum Test app.,1,,,,,,,,,AEB 035,,water,,,,,
Washing type air meter,1,,,,,,,,,AEB 035,Good,water,,,,,
Three phase meter sets.,3,,,,,,,,,AEB 034,Good,water,,,,,
Proctor Penetrometer,2,,,,,,,,,AEB 034,,water,,,,,
Salinity bridge,2,,,,,,,,,AEB 034,Good,water,,,,,
Liquid limit apparatus,7,,,,,,,,,AEB 034,Good,water,,,,,
Shrinkage limit apparatus,5,,,,,,,,,AEB 034,Good,water,,,,,
Constant water bath ,1,MIS-0212,,,,,,,,AEB 034,Not working,water,,,,,
Volt slider,2,,,,,,,,,AEB 034,Good,water,,,,,
Hydrometers,5,,,,,,,,,AEB 034,Good,water,,,,,
Constant temperature ovens,4,,,,,,,,,AEB 035,3 not working,water,,,,,
Flame photometer 410 corning,2,,,,,,,,,AEB 034,Good,water,,,,,
Muffle furnace FM-36,1,,,,,,,,,AEB 035,Good,water,,,,,
Horticulture EC meter ,5,DM-37,,,,,,,,AEB 034,Good,water,,,,,
Analytical balance,1,,,,,,,,,AEB 034,Good,water,,,,,
Centrifugal separator ,1,H-100F,,,,,,,,AEB 035,Good,water,,,,,
Rotab sieve shaker,1,,,,,,,,,AEB 035,Good,water,,,,,
Vacuum pumps ,4,DIK 310,,,,,,,,AEB 034,3 not working,water,,,,,
Water quality instrument,1,,,,,,,,,AEB 034,Good,water,,,,,
Concrete moulds ,4,,,,,,,,,AEB 035,Good,water,,,,,
Compaction proctor factor Tester,1,,,,,,,,,AEB 034,Good,water,,,,,
Shear box test apparatus,1,,,,,,,,,AEB 035,Good,water,,,,,
Gravel specific gravity apparatus,1,,,,,,,,,AEB 035,Good,water,,,,,
Motor flow table,1,,,,,,,,,AEB 035,Good,water,,,,,
CBR Extractor,1,,,,,,,,,AEB 035,Good,water,,,,,
Concrete vibrator,1,,,,,,,,,AEB 034,Good,water,,,,,
Sample mixer bench mounting,1,,,,,,,,,AEB 034,Good,water,,,,,
Scoops [small],18,,,,,,,,,AEB 034,Good,water,,,,,
Blow driers,3,1200W,,,,,,,,AEB 034,Good,water,,,,,
Water content reflect meter,1,,,,,,,,,AEB 034,Good,water,,,,,
Soil penetrometer ,1,SR-2 TYPE  DIK    ,,,,,,,,AEB 034,Good,water,,,,,
Electronic weighing balance [,2,max.8100g] 5500,,,,,,,,AEB 034,Good,water,,,,,
Electronic weighing balance],3,[max. 32100g,,,,,,,,AEB 034,Good,water,,,,,
Sound level meter ,1,[LA-200 series],,,,,,,,AEB 034,Good,water,,,,,
Digital dust indicator ,1,[model P-5 H2],,,,,,,,AEB 034,Good,water,,,,,
Centrifuge ,1,[Type H-1400 PF],,,,,,,,AEB 035 ,Good,water,,,,,
Terzhagis pressure apparatus,1,,,,,,,,,AEB 034,Good,water,,,,,
Submersible pump,1,,,,,,,,,AEB 034 ,,water,,,,,
Soil moisture meter,1,,,,,,,,,AEB 034,Good,water,,,,,
Water permeability apparatus ,1,DIK-420,,,,,,,,AEB 034,Not working,water,,,,,
Table Beam balance ,1,5kg,,,,,,,,AEB 034,Good,water,,,,,
Gunn Bellani Radiometer,1,,,,,,,,,AEB 034,Good,water,,,,,
Electronic balance ,4,ED-200,,,,,,,,AEB 034,Not working,water,,,,,
Test sieves for soil and concrete,140,,,,,,,,, AEB 035,Good,water,,,,,
Table platform counter scale,2,,,,,,,,,AEB 034,Good,water,,,,,
Hardness Tester ,1,NSS,,,,,,,,AEB 034,Good,water,,,,,
Conductivity meter ,1,UC-35,,,,,,,,AEB 034,Not working,water,,,,,
Digital ph/ORP meter ,1,UC-23,,,,,,,,AEB 034,Not working,water,,,,,
Falling head permeameter ,2,5fold type,,,,,,,,AEB 034,Good,water,,,,,
PH meter 3310[jenway],1,,,,,,,,,AEB 034,Good,water,,,,,
Centrifuge ,1,type H-1400PF.,,,,,,,,AEB 034,Good,water,,,,,
Office Desk,1,,,,,,,,,AEB 034,Good,water,,,,,
Office Desk,1,,,,,,,,,AEB 034,Not working,water,,,,,
S C T Meter Y .S .I  ,1,MODEL 33,,,,,,,,AEB 034,Good,water,,,,,
Soil Hardness Tester,1,,,,,,,,,AEB 034,Good,water,,,,,
S. Earth Resistance Tester ,1,32214,,,,,,,,AEB 034,Good,water,,,,,
Transformer for Centrifuge,1,,,,,,,,,AEB 034,Good,water,,,,,
Wide rage PF Meter ,1,#NAME?,,,,,,,,AEB 034,Good,water,,,,,
Electronic Balance   ,2,EB-4300D,,,,,,,,AEB 034,Good,water,,,,,
Soil Auger Tool box,1,,,,,,,,,AEB 034,Good,water,,,,,
Spring Balance ,1,5 kg,,,,,,,,AEB 034,Good,water,,,,,
Water pumps,1,,,,,,,,,AEB 034,Good,water,,,,,
Engineers Kit,1,,,,,,,,,AEB 034,Good,water,,,,,
Transformer ,1,CAP-500VA,,,,,,,,AEB 034,Good,water,,,,,
Meter Rule,2,,,,,,,,,AEB 034,Good,water,,,,,
Office Chairs,3,,,,,,,,,AEB 034,Good,water,,,,,
Tool box,2,,,,,,,,,AEB 034,Good,water,,,,,
Office Desk,2,,,,,,,,,AEB 034,,water,,,,,
Shelves,4,,,,,,,,,AEB 034,Good,water,,,,,
Transformer ,2,Step down KD300,,,,,,,,AEB 034,Good,water,,,,,
Transformer ,1,UC -15,,,,,,,,AEB 034,Good,water,,,,,
Incubator ,1,CB -4,,,,,,,,AEB 033,Good,water,,,,,
Gravel Spec. Gravity tester,1,,,,,,,,,AEB 034,Good,water,,,,,
Load Bearing Capacity -V,1,,,,,,,,,AEB 034,Good,water,,,,,
Load Bearing Capacity -H,1,,,,,,,,,AEB 034,Good,water,,,,,
Hot Plate,2,,,,,,,,,AEB 034,1 working,water,,,,,
Aneroid Barometer,1,,,,,,,,,AEB 034,Good,water,,,,,
Platform Balance,2,,,,,,,,,AEB 034,Good,water,,,,,
Air Cadet,1,,,,,,,,,AEB 034,Good,water,,,,,
BOD Track,1,,,,,,,,,AEB 034,,water,,,,,
Specific Earth Resistance,,,,,,,,,,,Good,water,,,,,
BOD Track,1,,,,,,,,,AEB 034,Good,water,,,,,
Aggregate measure,1,,,,,,,,,AEB 035,Good,water,,,,,
Arc welder,1,,,,,,,,,AEW 01,Ok ,water,,,,,
Bench vice,8,,,,,,,,,AEW 01,,water,,,,,
Pipe vice,1,,,,,,,,,AEW 01,Ok ,water,,,,,
Workshop benches,8,,,,,,,,,AEW 01,Ok ,water,,,,,
Tractor ,1,L3250,,,,Kubota,,,,AEW 01,Requires repair of charging system,water,,,,,
Tractor ,1,M7530,,,,Kubota,,,,AEW 01,Ok ,water,,,,,
Tractor ,1,L245,,,,Kubota,,,,AEW 01,Requires repairs. No spares,water,,,,,
Tractor ,3,330T,,,,Yanmar,,,,AEW 01,Requires repair of charging system,water,,,,,
Tractor ,2,3510,,,,Iseki,,,,AEW 01,1 in estates. No spares,water,,,,,
Lathe,1,,,,,Takasawa,,,,AEW 01,Requires various lathe tools,water,,,,,
Workshop jerk,4,,,,,,,,,AEW 01, 1 jerk in transport department.,water,,,,,
Compressor,2,,,,,,,,,AEW 01,Both require rewinding of motors and new capacitors.,water,,,,,
Dynamometer Brake,1,,,,,,,,,AEW 01,Requires new petrol single stroke engine and its components ,water,,,,,
Dynamometer Eddy current,1,,,,,,,,,AEW 01,Requires specialized and new load spring balance.,water,,,,,
Bench drilling machine,2,,,,,,,,,AEW 01,Ok,water,,,,,
Power saw ,1,Great Captain,,,,,,,,AEW 01,Ok,water,,,,,
Welding Gas cylinders ,1,,,,,,,,,AEW 01,Ok ,water,,,,,
Metal rack,3,,,,,,,,,AEW 01,Ok ,water,,,,,
Tractor ,1,,,,,,,,,AEW 01,,water,,,,,
Tractor ,1,,,,,,,,,AEW 01,Requires repair of the charging system,water,,,,,
Tractor,1,,,,,,,,,AEW 01,No spares available. Used Practicals,water,,,,,
Boom sprayer ,1,,,,,,,,,AEW 01,Requires brake discs.,water,,,,,
Battery charger,1,,,,,,,,,AEW 01,Ok,water,,,,,
Pipe Threading,1,,,,,,,,,AEW 01,,water,,,,,
Grinding Machine,1,,,,,,,,,AEW 01,,water,,,,,
Tractor ,1,,,,,,,,,AEW 01,Used for teaching,water,,,,,
Bean thresher,1,,,,,,,,,AEW 01,Ok ,water,,,,,
Oxen plows,6,,,,,,,,,AEW 01,Ok ,water,,,,,
Hand tractor ,4,,,,,,,,,AEW 01,No spares in store,water,,,,,
Hand tractor ,3,,,,,,,,,AEW 01,No spares in store,water,,,,,
Maize Sheller,1,,,,,,,,,AEW 01,Ok ,water,,,,,
Rice harvester ,1,,,,,,,,,AEW 01,Un repairable.,water,,,,,
Trencher,1,,,,,,,,,AEW 01,Requires new tyre + tube,water,,,,,
Concrete mixer,1,,,,,,,,,AEW 01,Requires a new petrol engine,water,,,,,
Boom sprayer,2,,,,,,,,,AEW 01,Unserviceable ,water,,,,,
Potato planter,1,,,,,,,,,AEW 01,OK ,water,,,,,
Seed drill,1,,,,,,,,,AEW 01,OK ,water,,,,,
Vacuum planter,2,,,,,,,,,AEW 01,OK ,water,,,,,
Rake,1,,,,,,,,,AEW 01,OK ,water,,,,,
Baler,1,,,,,,,,,AEW 01,Requires timing of the knotting mechanism ,water,,,,,
Fertilizer distributor,1,,,,,,,,,v,Ok ,water,,,,,
Forage chopper,1,,,,,,,,,AEW 01,Requires repair of PTO system,water,,,,,
Manure spreader,2,,,,,,,,,AEW 01,Requires 2 new tyres with tubes& repair of gears,water,,,,,
Hand planter,10,,,,,,,,,AEW 01,Unserviceable ,water,,,,,
Grade level,1,,,,,,,,,AEW 01,Ok ,water,,,,,
Spring tine harrow,1,,,,,,,,,AEW 01,,water,,,,,
Mould board plow,1,,,,,,,,,AEW 01,Ok ,water,,,,,
Spike tooth harrow,1,,,,,,,,,AEW 01,,water,,,,,
Rotavator,5,Tractor Driven,,,,,,,,AEW 01,1 requires repair of chain & gear system.,water,,,,,
Disk harrow,5,,,,,,,,,AEW 01,Ok ,water,,,,,
Disc mower,2,,,,,,,,,AEW 01,Requires new blades and gear unit,water,,,,,
Subsoiler,1,,,,,,,,,AEW 01,Ok ,water,,,,,
Burch planter,1,,,,,,,,,AEW 01,,water,,,,,
Disc plow,1,,,,,,,,,AEW 01,Ok ,water,,,,,
Rotavator,7,,,,,,,,,AEW 01,,water,,,,,
Combine harvester,1,,,,,,,,,AEW 01,Used as teaching aid,water,,,,,
Potato harvester,1,,,,,,,,,AEW 01,Ok ,water,,,,,
Ridger,1,,,,,,,,,AEW 01,,water,,,,,
Reversible plow,5,,,,,,,,,AEW 01,,water,,,,,
Tine harrow,1,,,,,,,,,AEW 01,Ok ,water,,,,,
Cultivator,2,,,,,,,,,AEW 01,Ok ,water,,,,,
Seed distributor,1,,,,,,,,,AEW 01,Repairable but some  parts missing,water,,,,,
Front loader(Tipper),2,,,,,,,,,AEW 01,,water,,,,,
Crimper roller,1,,,,,,,,,AEW 01,Servicing and repair of hydraulic system,water,,,,,
Reciprocating mower,1,,,,,,,,,AEW 01,Requires cutter bar,water,,,,,
Trailer,1,Nordika 1800,,,,Nordika ,,,,AEW 01,ok,water,,,,,
Post hole digger,1,,,,,,,,,AEW 01,Unserviceable ,water,,,,,
Welding Machine ,1,,,,,,,,,AEW 01,working,water,,,,,
Bending machine ,1,,,,,TAIYO,,,,AEW 01,working,water,,,,,
Blow Lamp,1,,,,,,,,,AEW 01,working,water,,,,,
Bolt cutter,5,,,,,,,,,AEW 01,working,water,,,,,
Bolt cutter-Small,2,,,,,,,,,AEW 01,working,water,,,,,
Generator ,1,2200Mx,,,,Honda  ,,,,AEW 01,ok,water,,,,,
Generator ,1,Honda   Ep 650,,,,,,,,AEW 01,ok,water,,,,,
Gold safe,1,,,,,,,,,AEW 01,ok,water,,,,,
Hand Drill,1,,,,,,,,2008,AEW 01,ok,water,,,,,
Hand Grinder ,1,Black & Decker,,,,,,,,AEW 01,ok,water,,,,,
Tachometer ,1, ASAHI,,,,,,,,AEW 01,ok,water,,,,,
Tachometer digital,1,,,,,,,,,AEW 01,ok,water,,,,,
Transmission Model,1,,,,,,,,,AEW 01,Good,water,,,,,
Weighing balance,1,yamato scale 5&2kg,,,,,,,,AEW 01,Good,water,,,,,
Rice  Whitening machine ,1,141 63,,,JP ,,RK30,,,AEW 02C,Working ,water,,,,,
Rice dehusker ,1,8804232,,,JP,,FCIK-M,,,AEW 02C,Working ,water,,,,,
Rice whitening and caking  machine,1,1214215,,,JP,,91-16 839,,,AEW 02C,Not Working ,water,,,,,
Rice dehusking machine ,1,EO10002,,,JP,,THU,,,AEW 02C,Working ,water,,,,,
Grain moisture tester,1,850012,,,JP ,,PB-ID2,,,AEW 02C,Not Working ,water,,,,,
Digital soya bean tester ,1,149B,,,JP ,,KMNo.149-B ,,,AEW 02C, Not Working ,water,,,,,
 Grain filling hopper and measure,1,,,,JP,,KM No. 125,,,AEW 02C,Working ,water,,,,,
 Grain hardness tester,1,3881,,,JP,,,,,AEW 02C,Working ,water,,,,,
 Grain hardness tester,1,4299,,,JP,,,,,AEW 02C,Working ,water,,,,,
Digital grain moisture tester ,1, 146  PM-5032,,,JP,,,,,AEW 02C, Not Working ,water,,,,,
Grain balance volume  weight tester,1,,,,JP,,,,,AEW 02C,Working ,water,,,,,
Desiccators ,1,,,,,,,,,AEW 02C,Working,water,,,,,
Infra red moisture balance ,1,524585,,,JP,,,,,AEW 02C, Not Working,water,,,,,
Intra red moisture balance ,1,539154,,,JP,,,,,AEW 02C, Not Working,water,,,,,
 Scale balance ,1,,,,,,,,,AEW 02C,Working,water,,,,,
 Scale balance ,1,,,,,,,,,AEW 02C,Working,water,,,,,
 Scale balance ,1,,,,,,,,,AEW 02C,Working,water,,,,,
 Single phase wattmeter,1,60An 0278,,,JP,,,,,AEW 02C,Working 2041 class 0.5,water,,,,,
Air conditioner ,1,,,,JP,,Sky airFA 100 BVI,,,AEW 02C,Working,water,,,,,
Data logger ,1,,,,JP,,,,,AEW 02C, Not Working,water,,,,,
Cooling fan,1,1095301,,,JP,,Dyna Ace Altai ,,,AEW 02C,Working,water,,,,,
Cooling fan,1,T.041(TSB212),,,JP,,Dyna ace Altai,,,AEW 02C,Working,water,,,,,
Transformer (in metal  box),1,7669,,,JP,,,,,AEW 02C,Working,water,,,,,
Transformer 3 phase,1,1311060,,,JP,,,,,AEW 02C,Working,water,,,,,
Regulated DC power  supply,1,55332,,,JP ,,,,,AEW 02C,Working,water,,,,,
Weighing Balance ,1,3530491,,,JP,,25 kg,,,AEW 02C,Working,water,,,,,
Test rice grader (satake),1,5003487,,,JP,,,,,AEW 02C,Working,water,,,,,
Sanyo  fridge ,1,677504,,,JP ,,,,,AEW 02C,Working,water,,,,,
Electric blower(National),1,,,,JP ,,,,,AEW 02C,Working,water,,,,,
Disintegrator/ chopper/ grinder ,1,,,,JP ,,,,,AEW 02C,Working,water,,,,,
Hammer mill(complete),1,,,,KE,,,,,AEW 02C, Not Working,water,,,,,
Rice hulling machine Nouguera (Brazil),1,,,,BR,,,,,AEW 02C,  Not Working,water,,,,,
Rice threshing machine  food operated ,1,,,,KE,,,,,AEW 02C,Working,water,,,,,
Grain drier with blower assembly ,1,,,,JP ,,,,,AEW 02C, Not Working,water,,,,,
Transformer ,1,90982,,,JP ,,220/240V,,,AEW 02C,Working,water,,,,,
Pneumatic separator ,1,120891,,,JP,,,,,AEW 02C,Working ,water,,,,,
Metal cabinet ,1,,,,JP,,,,,AEW 02C,Good ,water,,,,,
Metal cabinet,1,,,,JP,,,,,AEW 02C,Good ,water,,,,,
Chip slicer ,1,,,,JP,,,,,AEW 02C,Good ,water,,,,,
Screw conveyor ,1,,,,JP,,,,,AEW 02C,Good ,water,,,,,
Screw conveyor,1,,,,JP,,,,,AEW 02C,Good ,water,,,,,
Screw conveyor,1,,,,JP,,,,,AEW 02C,Good ,water,,,,,
Electric water pump,1,59545600,,,JP,,Grundfos,,,AEW 02C,Working,water,,,,,
Fortin_s Barometer ,1,7990,,,,,UPS25-50,,,AEW 02C,Working ,water,,,,,
Fortin_s Barometer,1,8106,,,,,BF -100,,,AEW 02C,Working,water,,,,,
"2 Key to the lab , 4 keys to metal  cabinets",1,,,,,,BF-100,,,AEW 02C, Working,water,,,,,
